Taxon,Cluster
ERX330670,1
SRX1114299,1
ERX096703,1
SRX467725,1
ERX462134,1
ERX513866,1
ERX1998466,1
ERX333014,1
SRX1051541,1
ERX063842,1
SRX1605476,1
SRX468088,1
ERX950100,1
SRX2516147,1
ERX010274,1
ERX1629343,1
SRX477136,1
ERX2011572,1
ERX276162,1
ERX505297,1
SRX477124,1
SRX2551522,1
ERX325897,1
ERX095327,1
ERX385423,1
SRX391612,1
SRX007679,1
ERX325885,1
ERX462143,1
SRX373645,1
SRX2535673,1
ERX451120,1
SRX145235,1
SRX2535444,1
ERX1120353,1
ERX116921,1
ERX451377,1
ERX110836,1
ERX451054,1
SRX391688,1
ERX212255,1
SRX463814,1
ERX110832,1
SRX467772,1
ERX1606240,1
ERX462237,1
ERX116918,1
ERX086709,1
ERX956467,1
ERX209528,1
SRX2122482,1
ERX1606229,1
ERX326053,1
ERX330769,1
ERX482623,1
SRX392330,1
SRX672605,1
ERX330732,1
SRX2535426,1
ERX086694,1
ERX2004119,1
ERX462079,1
SRX1886911,1
SRX422796,1
ERX325824,1
ERX096712,1
ERX325780,1
ERX1998060,1
ERX096692,1
ERX451392,1
SRX2147155,1
ERX659614,1
SRX391572,1
ERX113329,1
SRX2551616,1
ERX001252,1
ERX110841,1
SRX369154,1
ERX212229,1
ERX164913,1
ERX2007903,1
ERX187449,1
ERX950068,1
SRX478059,1
ERX096662,1
ERX096668,1
ERX116929,1
SRX463233,1
ERX276181,1
ERX2004454,1
SRX2551625,1
ERX513842,1
ERX462332,1
SRX2551556,1
SRX313302,1
SRX463002,1
ERX531938,1
ERX110825,1
SRX477182,1
ERX113929,1
ERX979823,1
SRX391755,1
SRX2516180,1
ERX513359,1
ERX462183,1
ERX482614,1
ERX110671,1
ERX910794,1
SRX2012786,1
ERX333058,1
ERX303875,1
ERX391969,1
ERX1520502,1
ERX2011947,1
ERX1853104,1
ERX209434,1
ERX694902,1
ERX116922,1
SRX2535525,1
ERX330853,1
SRX1422833,1
ERX1590848,1
SRX1605501,1
ERX110642,1
ERX2003851,1
ERX1998126,1
ERX462309,1
SRX2551637,1
ERX659595,1
SRX2122562,1
ERX305112,1
ERX325787,1
ERX979801,1
ERX009584,1
ERX513289,1
ERX513733,1
ERX092305,1
ERX113365,1
ERX332978,1
SRX392431,1
ERX451107,1
ERX451131,1
SRX373652,1
ERX451448,1
ERX110703,1
ERX330877,1
ERX451183,1
SRX150184,1
SRX477166,1
SRX2516205,1
SRX451136,1
ERX451239,1
ERX1666408,1
ERX676518,1
ERX1997657,1
ERX326051,1
SRX1114342,1
ERX209512,1
ERX462242,1
ERX1998167,1
ERX025505,1
ERX140781,1
SRX2535664,1
ERX462284,1
ERX116974,1
SRX672664,1
ERX950020,1
SRX2551506,1
ERX209435,1
SRX1885302,1
SRX2516182,1
SRX2551377,1
ERX139585,1
ERX113370,1
ERX063824,1
ERX2003885,1
ERX2004339,1
SRX392233,1
ERX325747,1
SRX392257,1
ERX659275,1
ERX330895,1
SRX2535612,1
SRX2535695,1
ERX979804,1
ERX212200,1
ERX086689,1
SRX2012774,1
ERX505382,1
ERX1606178,1
ERX212237,1
ERX956677,1
SRX392304,1
SRX364460,1
SRX2535411,1
ERX139444,1
ERX980167,1
ERX451100,1
SRX449796,1
ERX451351,1
SRX2219164,1
ERX110834,1
ERX139546,1
ERX385323,1
ERX330890,1
SRX390860,1
ERX325748,1
ERX2011544,1
SRX467831,1
SRX477126,1
ERX063871,1
ERX326045,1
SRX145232,1
SRX451129,1
ERX505104,1
SRX2535337,1
ERX1606236,1
ERX1899588,1
ERX712417,1
ERX652691,1
ERX223847,1
ERX139445,1
SRX463226,1
SRX2426200,1
ERX147793,1
SRX658875,1
ERX513865,1
SRX477186,1
ERX100625,1
SRX2535242,1
ERX139385,1
ERX231423,1
ERX451045,1
SRX422826,1
SRX2012783,1
ERX223858,1
ERX2004680,1
SRX2122460,1
SRX464300,1
ERX717708,1
ERX139582,1
ERX330898,1
ERX330918,1
ERX942830,1
ERX139574,1
SRX363520,1
ERX1048277,1
SRX2551411,1
ERX139371,1
SRX658860,1
ERX979819,1
ERX025490,1
ERX333137,1
ERX328718,1
ERX276158,1
ERX1033662,1
SRX672668,1
SRX364417,1
ERX110640,1
ERX1222324,1
ERX276174,1
ERX325964,1
ERX462307,1
SRX658914,1
SRX1605478,1
ERX2004688,1
SRX479821,1
SRX467789,1
SRX672643,1
SRX2551376,1
SRX2535332,1
ERX330676,1
ERX096745,1
ERX186867,1
SRX468083,1
ERX482550,1
ERX096717,1
SRX658889,1
ERX330687,1
ERX330888,1
SRX2535536,1
ERX139496,1
ERX462228,1
ERX1043719,1
ERX147794,1
ERX332996,1
SRX2551378,1
ERX303889,1
ERX096635,1
ERX030078,1
SRX276959,1
ERX2011838,1
ERX325960,1
ERX505469,1
ERX1998083,1
ERX095317,1
SRX2122494,1
ERX1972232,1
ERX1626040,1
ERX676538,1
ERX1626077,1
SRX2516170,1
ERX330657,1
ERX910821,1
ERX333009,1
ERX1998114,1
ERX462170,1
ERX025543,1
ERX325743,1
ERX451101,1
ERX659646,1
ERX513551,1
ERX505114,1
ERX956449,1
ERX950123,1
SRX392393,1
SRX477050,1
ERX303871,1
ERX2131407,1
ERX676589,1
SRX672671,1
SRX478055,1
ERX1666216,1
SRX422807,1
ERX021286,1
ERX116960,1
ERX140761,1
ERX1103556,1
ERX1998473,1
ERX325916,1
ERX197842,1
SRX2551403,1
SRX2551527,1
ERX462251,1
SRX463589,1
ERX110672,1
ERX139330,1
ERX462074,1
ERX956539,1
SRX2516212,1
ERX113339,1
ERX330852,1
SRX2551493,1
ERX186894,1
ERX770162,1
ERX139418,1
SRX2535213,1
ERX349191,1
SRX477079,1
ERX2006799,1
ERX186902,1
ERX676515,1
ERX030059,1
SRX981358,1
SRX1114302,1
SRX391737,1
ERX384908,1
ERX095311,1
ERX164904,1
ERX451361,1
ERX1997628,1
ERX451196,1
ERX389325,1
ERX326039,1
ERX328697,1
ERX451229,1
ERX980248,1
ERX100677,1
ERX770146,1
ERX209544,1
ERX325815,1
ERX712421,1
ERX2003558,1
ERX042872,1
ERX807588,1
ERX462232,1
ERX980239,1
SRX1887363,1
SRX449929,1
ERX681194,1
SRX007713,1
SRX373655,1
ERX025425,1
ERX110737,1
ERX980304,1
ERX110760,1
ERX1785620,1
ERX451209,1
ERX451225,1
ERX276163,1
ERX391860,1
ERX042900,1
SRX422886,1
ERX009883,1
ERX451270,1
ERX451267,1
ERX1035162,1
SRX2551392,1
ERX2012061,1
ERX505108,1
ERX513579,1
SRX1885744,1
SRX422800,1
ERX212256,1
ERX462070,1
ERX326043,1
ERX113363,1
ERX1606266,1
ERX910748,1
SRX1887028,1
SRX2551593,1
ERX209410,1
ERX2073677,1
SRX2551512,1
ERX209490,1
ERX717856,1
ERX416243,1
ERX462281,1
ERX694921,1
ERX1346214,1
SRX1837669,1
ERX451144,1
ERX030063,1
ERX717748,1
SRX449947,1
SRX1156985,1
ERX303901,1
ERX139328,1
ERX462088,1
ERX513831,1
ERX140744,1
ERX2012052,1
SRX2516200,1
ERX391954,1
SRX2122589,1
ERX1997671,1
ERX328687,1
SRX672645,1
ERX451274,1
ERX1114471,1
SRX467792,1
SRX672591,1
ERX956663,1
SRX392128,1
SRX479797,1
ERX325931,1
ERX384915,1
SRX451238,1
SRX2551432,1
SRX392148,1
ERX451080,1
ERX209451,1
ERX095304,1
ERX110890,1
ERX186860,1
ERX110877,1
ERX652726,1
SRX2535592,1
ERX1606264,1
ERX1952429,1
ERX326018,1
SRX1885260,1
ERX086669,1
SRX672658,1
ERX333104,1
ERX009884,1
ERX680636,1
ERX942825,1
ERX147774,1
ERX353393,1
ERX686772,1
ERX030071,1
ERX110647,1
ERX462126,1
SRX2122580,1
ERX2003555,1
ERX1626329,1
ERX2011693,1
SRX1156657,1
ERX384844,1
ERX505402,1
ERX325856,1
ERX676568,1
ERX1666598,1
ERX462308,1
SRX1885359,1
SRX2535413,1
ERX1793933,1
SRX467870,1
ERX209462,1
ERX326104,1
SRX1114241,1
SRX2551513,1
SRX462873,1
ERX1852757,1
ERX717790,1
SRX2535694,1
SRX1114303,1
ERX676571,1
SRX1027131,1
SRX449939,1
ERX330655,1
ERX513514,1
ERX451105,1
ERX659589,1
ERX717823,1
ERX085482,1
ERX505529,1
SRX451104,1
SRX1114274,1
ERX333022,1
ERX2004658,1
SRX672619,1
SRX2535396,1
SRX2535628,1
ERX095298,1
SRX468118,1
ERX451258,1
ERX2006937,1
ERX325796,1
SRX2535553,1
ERX2011785,1
ERX659182,1
SRX467746,1
SRX2551433,1
ERX1035217,1
SRX672553,1
SRX463602,1
SRX2551510,1
ERX513879,1
ERX451418,1
ERX1662709,1
ERX087082,1
ERX209497,1
SRX391712,1
ERX025438,1
ERX330777,1
ERX096651,1
ERX325995,1
ERX096676,1
ERX110740,1
ERX1033654,1
ERX276157,1
ERX333066,1
SRX2535238,1
ERX532026,1
ERX139340,1
ERX505094,1
ERX325925,1
ERX353400,1
SRX2535666,1
ERX451143,1
ERX140768,1
SRX477185,1
ERX305193,1
ERX332983,1
ERX092368,1
ERX482586,1
ERX505081,1
SRX467768,1
SRX659038,1
ERX063900,1
ERX330659,1
SRX477152,1
SRX468114,1
ERX1998048,1
ERX030088,1
SRX1605534,1
ERX303896,1
ERX462118,1
SRX366331,1
ERX325971,1
ERX204845,1
ERX063931,1
ERX303884,1
ERX276089,1
SRX2122466,1
ERX042896,1
SRX2535191,1
ERX330773,1
ERX1150192,1
ERX451302,1
SRX2551420,1
SRX449819,1
SRX658927,1
ERX1662715,1
ERX1998063,1
ERX096654,1
ERX209516,1
SRX391554,1
ERX330660,1
SRX672578,1
ERX346934,1
ERX1035234,1
SRX2551543,1
SRX007703,1
ERX139587,1
ERX001250,1
ERX164914,1
ERX712415,1
ERX451253,1
SRX476975,1
SRX2551443,1
ERX451301,1
ERX010728,1
SRX467921,1
ERX325976,1
ERX513432,1
ERX1793899,1
ERX513273,1
ERX326096,1
ERX325870,1
ERX451335,1
SRX2516177,1
ERX1997655,1
ERX451017,1
ERX451286,1
ERX979791,1
ERX807566,1
ERX330658,1
ERX147778,1
ERX276153,1
ERX1666498,1
SRX468244,1
SRX1114333,1
ERX139539,1
ERX328691,1
ERX462339,1
SRX363630,1
ERX384329,1
ERX462161,1
ERX353375,1
SRX672666,1
ERX1997595,1
ERX1998117,1
ERX462333,1
ERX110669,1
ERX023474,1
ERX325949,1
ERX384890,1
ERX1793844,1
ERX389238,1
SRX392126,1
ERX204852,1
ERX1785615,1
ERX2004479,1
SRX659280,1
ERX025533,1
ERX1606251,1
ERX325865,1
ERX1662807,1
ERX325944,1
SRX468133,1
ERX186882,1
ERX462095,1
SRX2012779,1
ERX416233,1
SRX887085,1
ERX062458,1
ERX062464,1
ERX063970,1
SRX1605481,1
ERX030091,1
ERX330885,1
ERX209485,1
SRX2551617,1
SRX468262,1
ERX325844,1
SRX468266,1
SRX2551394,1
SRX392169,1
ERX113364,1
ERX276126,1
SRX359167,1
SRX2551489,1
ERX113353,1
ERX330653,1
ERX063840,1
SRX464056,1
ERX1028039,1
ERX1035207,1
ERX330753,1
ERX030085,1
ERX513751,1
SRX463561,1
ERX186872,1
ERX456075,1
SRX373677,1
SRX313294,1
ERX2085698,1
ERX676508,1
ERX164860,1
ERX926774,1
ERX204857,1
ERX1820893,1
SRX1887567,1
SRX391697,1
SRX2535289,1
ERX086663,1
ERX1998143,1
ERX513668,1
SRX464600,1
SRX2516176,1
ERX1972067,1
ERX305166,1
ERX513765,1
SRX659074,1
ERX025482,1
SRX285640,1
SRX477148,1
ERX1662783,1
SRX2516137,1
SRX364429,1
ERX676586,1
ERX694948,1
ERX910062,1
SRX467800,1
ERX1998051,1
ERX001198,1
ERX349231,1
SRX2551430,1
SRX364578,1
ERX1405533,1
ERX209436,1
SRX367954,1
ERX020506,1
SRX2551444,1
ERX451285,1
ERX063822,1
SRX2516158,1
ERX770136,1
ERX1120342,1
ERX325882,1
ERX505101,1
ERX110851,1
SRX2551597,1
ERX025457,1
SRX392256,1
ERX330826,1
SRX422875,1
ERX1711364,1
ERX482542,1
SRX390853,1
ERX950040,1
ERX686747,1
ERX209556,1
ERX451231,1
ERX979808,1
ERX063932,1
SRX2535453,1
SRX2516198,1
ERX956805,1
SRX1114264,1
SRX391623,1
ERX325886,1
ERX209422,1
SRX1887672,1
ERX063858,1
SRX367909,1
ERX209570,1
ERX113368,1
SRX477167,1
ERX063836,1
ERX384882,1
ERX1659865,1
ERX063927,1
SRX2535589,1
ERX1114527,1
ERX389187,1
SRX477087,1
ERX646433,1
ERX063853,1
SRX1028489,1
ERX113342,1
SRX659072,1
ERX451067,1
ERX462335,1
SRX449966,1
ERX1785614,1
ERX376447,1
ERX095305,1
SRX2535460,1
ERX326010,1
ERX267690,1
ERX1659307,1
ERX1667401,1
ERX659658,1
ERX139509,1
ERX116932,1
ERX139581,1
ERX2169751,1
SRX422894,1
SRX467714,1
ERX333101,1
SRX477121,1
SRX1885662,1
SRX659166,1
ERX391908,1
ERX330707,1
SRX2535610,1
ERX116913,1
ERX385123,1
ERX325898,1
ERX113375,1
ERX187512,1
ERX2007915,1
SRX2551380,1
SRX422832,1
ERX042907,1
ERX110815,1
ERX391970,1
ERX325935,1
ERX209433,1
SRX478042,1
ERX451322,1
SRX2551483,1
ERX482611,1
SRX672585,1
ERX513483,1
SRX364457,1
ERX062462,1
ERX326054,1
ERX139354,1
ERX063849,1
ERX376406,1
ERX330751,1
ERX505300,1
ERX451471,1
ERX113320,1
ERX113999,1
ERX023528,1
SRX392227,1
ERX1043723,1
ERX1657187,1
ERX1606211,1
ERX451016,1
ERX1952260,1
ERX384815,1
SRX2551480,1
SRX2535216,1
SRX1886735,1
ERX204884,1
SRX451512,1
ERX209459,1
ERX212208,1
ERX1785643,1
ERX956445,1
ERX462175,1
ERX718003,1
ERX147763,1
ERX333100,1
SRX2535690,1
SRX2535557,1
SRX449936,1
ERX462107,1
SRX392564,1
ERX391864,1
ERX2006431,1
ERX325986,1
ERX1048287,1
ERX462110,1
SRX467962,1
ERX1048249,1
SRX2557076,1
SRX2122533,1
ERX113984,1
ERX1662813,1
SRX467934,1
ERX063891,1
SRX2551371,1
SRX400105,1
ERX2004427,1
SRX2535550,1
SRX464085,1
SRX2535219,1
ERX1048247,1
ERX139380,1
ERX956423,1
ERX385374,1
ERX1666640,1
ERX1852752,1
ERX325868,1
ERX325890,1
ERX326108,1
ERX330856,1
ERX139335,1
ERX333070,1
SRX467905,1
SRX998338,1
ERX1662733,1
ERX979806,1
SRX659213,1
SRX477048,1
ERX212257,1
SRX2122490,1
ERX063869,1
ERX305135,1
ERX139534,1
ERX1626327,1
ERX209501,1
SRX468110,1
SRX468307,1
ERX1611901,1
ERX482632,1
SRX2535540,1
ERX1126807,1
ERX1666438,1
SRX364604,1
SRX477067,1
ERX1662738,1
ERX305127,1
SRX1114262,1
SRX477130,1
SRX1605484,1
SRX658912,1
SRX477092,1
ERX1659857,1
ERX1114576,1
ERX1830492,1
ERX186875,1
ERX092286,1
ERX001264,1
ERX956569,1
ERX330886,1
ERX110870,1
ERX326031,1
SRX2012780,1
ERX333060,1
ERX552046,1
ERX717962,1
ERX086975,1
ERX147822,1
ERX147814,1
ERX164845,1
SRX390869,1
SRX478053,1
ERX389207,1
ERX139455,1
ERX212228,1
SRX761875,1
ERX113326,1
ERX286208,1
ERX021342,1
SRX085180,1
ERX139393,1
SRX2535440,1
ERX956360,1
SRX1605543,1
ERX451347,1
SRX2516156,1
SRX659178,1
ERX451332,1
SRX463687,1
ERX1626271,1
ERX276177,1
ERX482549,1
ERX482615,1
SRX2535343,1
ERX276108,1
ERX482617,1
ERX376424,1
ERX063973,1
SRX467769,1
ERX326067,1
ERX1711355,1
ERX2007917,1
ERX110686,1
ERX718015,1
ERX676513,1
ERX1998100,1
SRX468311,1
ERX712406,1
ERX532128,1
SRX392399,1
ERX385128,1
ERX139467,1
ERX140729,1
SRX2535311,1
ERX2012010,1
ERX2073660,1
ERX456027,1
ERX100675,1
SRX477096,1
SRX659202,1
ERX1033705,1
SRX468069,1
ERX658997,1
ERX2007902,1
SRX477068,1
ERX276093,1
ERX063850,1
ERX462296,1
ERX2073781,1
ERX139350,1
ERX139442,1
ERX139495,1
ERX326102,1
ERX212267,1
ERX113372,1
SRX1885271,1
SRX451125,1
SRX391753,1
ERX326006,1
ERX451460,1
ERX164848,1
SRX659076,1
SRX1605516,1
ERX330859,1
ERX389208,1
ERX451060,1
SRX391621,1
ERX2012127,1
ERX2007896,1
ERX391956,1
ERX139411,1
SRX477049,1
ERX979834,1
ERX140798,1
ERX2007897,1
ERX2006802,1
SRX1885705,1
ERX209499,1
ERX139333,1
ERX686764,1
ERX451243,1
ERX025529,1
ERX116956,1
ERX139339,1
SRX368809,1
SRX467758,1
ERX086685,1
ERX326087,1
ERX385127,1
ERX1782581,1
ERX1035169,1
ERX1286013,1
ERX1611811,1
ERX370451,1
SRX2551387,1
SRX2535582,1
ERX451395,1
ERX063833,1
SRX400093,1
ERX2003513,1
ERX1711257,1
ERX110696,1
ERX1997619,1
ERX116953,1
ERX1711224,1
ERX1711388,1
SRX462990,1
SRX761829,1
ERX2006942,1
ERX686872,1
ERX186848,1
ERX1998125,1
ERX1286015,1
SRX1114352,1
ERX326037,1
ERX389233,1
ERX659615,1
SRX007477,1
SRX1886807,1
SRX998327,1
ERX2006918,1
ERX2007924,1
SRX368819,1
ERX139564,1
ERX451136,1
ERX2007923,1
SRX467825,1
ERX209547,1
ERX956361,1
ERX2005687,1
ERX370454,1
ERX025492,1
ERX110713,1
SRX659266,1
ERX1998115,1
ERX1048160,1
ERX303892,1
ERX025467,1
ERX1952284,1
ERX1997593,1
SRX449813,1
ERX1852822,1
SRX2551587,1
SRX449950,1
SRX422934,1
ERX1998046,1
ERX087115,1
ERX110830,1
ERX2011618,1
SRX468225,1
ERX186847,1
ERX539055,1
ERX139403,1
ERX330902,1
ERX113976,1
ERX139395,1
ERX010727,1
SRX392312,1
ERX063948,1
ERX1520505,1
ERX139477,1
ERX1662334,1
ERX505087,1
ERX178890,1
SRX2551369,1
ERX204891,1
ERX147795,1
ERX353394,1
ERX1606245,1
SRX390845,1
ERX926809,1
SRX2426208,1
SRX998328,1
ERX325832,1
ERX462263,1
ERX451057,1
ERX451226,1
ERX110776,1
ERX212263,1
SRX391528,1
ERX1286019,1
ERX1120522,1
ERX389271,1
ERX451010,1
ERX384731,1
SRX422873,1
ERX1666363,1
SRX392167,1
SRX3230758,1
SRX477084,1
SRX364300,1
ERX328690,1
ERX513485,1
ERX391858,1
ERX2003530,1
ERX514154,1
ERX186859,1
SRX373688,1
SRX2551611,1
SRX2535534,1
SRX2535465,1
ERX209518,1
ERX1086770,1
SRX477115,1
ERX505301,1
ERX694896,1
ERX956526,1
ERX1711256,1
ERX209506,1
ERX325872,1
ERX147789,1
ERX950070,1
ERX462065,1
SRX464601,1
SRX672595,1
SRX2535434,1
SRX1384955,1
ERX110643,1
ERX505460,1
ERX646257,1
SRX477052,1
ERX513743,1
SRX392186,1
SRX476996,1
SRX2551550,1
ERX276164,1
ERX694930,1
SRX2122550,1
ERX025404,1
ERX462229,1
SRX451287,1
SRX2551447,1
ERX063974,1
ERX197814,1
SRX2535629,1
ERX204842,1
ERX186916,1
SRX477061,1
ERX1972215,1
SRX2551536,1
ERX325862,1
ERX1659856,1
ERX910739,1
ERX1035196,1
SRX422811,1
ERX681050,1
SRX463049,1
SRX1887433,1
ERX330919,1
ERX325905,1
ERX333099,1
ERX140751,1
ERX021298,1
SRX2551463,1
ERX305183,1
ERX1086754,1
ERX209520,1
ERX462099,1
SRX462876,1
ERX416261,1
ERX462244,1
SRX390910,1
ERX325921,1
ERX209496,1
SRX084530,1
SRX2535538,1
ERX325993,1
ERX204863,1
ERX462192,1
ERX462234,1
ERX326038,1
ERX451215,1
ERX063897,1
ERX042915,1
ERX451141,1
ERX451235,1
SRX2535581,1
